Age_Group,Gender,Department,Job_Level,Tenure,Work_Arrangement,Employment_Type,Training_Recency,Role_Specific_Training,Self_Rated_Knowledge,Phishing_Score,Phishing_Pass,Password_Change_Freq,MFA_Use,Personal_Device_Use,Report_Suspicious_Email,Admin_Privileges,Security_Culture_Perception,Stress_Level,Time_Pressure,IT_Support_Confidence,Incidents_Caused_Category,Incidents_Raw_Count,Security_Behavior_Tags
35-44,Non-binary,Sales,Manager,5-10 yrs,Hybrid,Permanent,3-6 mo,Yes,4,69,Yes,Often,Never,Rarely,Always,No,5,2,4,2,1,1,"Early_Password_Change,Reports_Phishing"
25-34,Male,Sales,Intermediate,< 1 yr,On-site,Permanent,< 3 months,Yes,4,69,Yes,Sometimes,Always,Sometimes,Rarely,No,3,2,3,5,0,0,"Uses_MFA,Personal_Device_Use"
55+,Male,Operations,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,No,3,58,No,Sometimes,Sometimes,Always,Rarely,No,5,4,5,5,2-3,2,"Uses_MFA,Personal_Device_Use"
25-34,Female,Operations,Intermediate,5-10 yrs,Hybrid,Permanent,Never,Yes,3,39,No,Rarely,Always,Sometimes,Always,No,2,2,5,3,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,IT,Manager,5-10 yrs,On-site,Permanent,< 3 months,No,3,55,No,Sometimes,Always,Often,Often,Yes,5,2,4,2,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Non-binary,Operations,Director,> 10 yrs,On-site,Permanent,> 12 mo,Yes,4,85,Yes,Sometimes,Sometimes,Often,Rarely,Yes,3,3,4,5,2-3,2,"Uses_MFA,Personal_Device_Use,Admin_Priv"
35-44,Female,HR,Intermediate,3-5 yrs,On-site,Permanent,> 12 mo,Yes,4,90,Yes,Always,Sometimes,Never,Often,No,2,3,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Female,Sales,Entry,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,2,40,No,Never,Sometimes,Never,Rarely,No,1,3,4,5,0,0,Uses_MFA
18-24,Female,HR,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,67,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,2,3,5,4,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work,Admin_Priv"
18-24,Male,Operations,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,No,3,66,Yes,Rarely,Always,Often,Rarely,No,4,4,4,3,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Prefer not to say,IT,Manager,3-5 yrs,Hybrid,Permanent,6-12 mo,Yes,5,74,Yes,Always,Never,Sometimes,Often,No,4,4,1,5,2-3,2,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,R&D,Entry,1-3 yrs,On-site,Permanent,< 3 months,No,2,65,Yes,Always,Always,Rarely,Rarely,No,2,1,4,3,0,0,"Uses_MFA,Early_Password_Change"
45-54,Female,Finance,Intermediate,1-3 yrs,On-site,Permanent,Never,Yes,3,53,No,Rarely,Sometimes,Often,Sometimes,No,2,4,2,2,2-3,3,"Uses_MFA,Personal_Device_Use"
25-34,Male,Marketing,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,No,2,60,Yes,Always,Never,Often,Often,No,3,3,5,3,1,1,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Female,Marketing,Manager,1-3 yrs,On-site,Permanent,Never,Yes,3,52,No,Always,Never,Rarely,Sometimes,Yes,4,4,2,2,2-3,2,"Early_Password_Change,Admin_Priv"
35-44,Female,Sales,Entry,< 1 yr,On-site,Permanent,< 3 months,No,4,66,Yes,Rarely,Never,Always,Often,No,4,3,5,3,2-3,3,"Reports_Phishing,Personal_Device_Use"
45-54,Male,Operations,Entry,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,90,Yes,Sometimes,Always,Rarely,Always,No,5,2,2,4,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
25-34,Male,Finance,Executive,5-10 yrs,On-site,Permanent,6-12 mo,No,3,58,No,Always,Always,Never,Sometimes,No,3,5,4,3,2-3,2,"Uses_MFA,Early_Password_Change"
18-24,Male,Operations,Director,> 10 yrs,On-site,Permanent,> 12 mo,No,1,41,No,Often,Always,Often,Sometimes,No,3,3,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Male,R&D,Entry,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,31,No,Sometimes,Never,Rarely,Always,Yes,4,5,3,1,2-3,3,"Reports_Phishing,Remote_Work,Admin_Priv"
55+,Prefer not to say,Operations,Entry,< 1 yr,Hybrid,Contractor,< 3 months,No,4,76,Yes,Always,Always,Never,Always,No,3,4,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Female,Finance,Director,3-5 yrs,On-site,Permanent,3-6 mo,No,2,76,Yes,Sometimes,Sometimes,Often,Sometimes,No,3,2,4,4,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Male,IT,Entry,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,5,71,Yes,Always,Always,Sometimes,Sometimes,Yes,4,2,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
25-34,Female,HR,Intermediate,1-3 yrs,Fully Remote,Permanent,> 12 mo,Yes,3,51,No,Sometimes,Always,Sometimes,Never,No,3,3,4,4,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
35-44,Female,Finance,Intermediate,3-5 yrs,On-site,Permanent,> 12 mo,Yes,5,48,No,Never,Always,Often,Sometimes,No,3,4,4,5,1,1,"Uses_MFA,Personal_Device_Use"
35-44,Male,IT,Manager,3-5 yrs,On-site,Permanent,Never,No,3,21,No,Often,Always,Always,Always,No,3,5,4,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
55+,Male,R&D,Manager,3-5 yrs,On-site,Permanent,6-12 mo,No,3,42,No,Sometimes,Always,Sometimes,Always,No,4,4,4,5,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Marketing,Entry,5-10 yrs,On-site,Permanent,3-6 mo,No,2,73,Yes,Often,Always,Rarely,Always,No,1,2,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,Operations,Executive,5-10 yrs,On-site,Permanent,6-12 mo,No,3,47,No,Always,Always,Never,Often,No,3,5,3,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Female,IT,Director,> 10 yrs,On-site,Permanent,< 3 months,No,4,56,No,Always,Always,Sometimes,Rarely,No,4,3,3,5,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,HR,Intermediate,1-3 yrs,On-site,Permanent,> 12 mo,Yes,3,59,No,Often,Always,Rarely,Often,No,4,2,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,HR,Intermediate,< 1 yr,On-site,Permanent,Never,No,5,37,No,Often,Always,Never,Often,No,4,3,3,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
55+,Male,Marketing,Intermediate,> 10 yrs,On-site,Permanent,6-12 mo,No,5,46,No,Sometimes,Always,Often,Rarely,No,5,4,5,4,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Male,IT,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,2,35,No,Sometimes,Always,Rarely,Sometimes,Yes,2,3,4,4,2-3,3,"Uses_MFA,Admin_Priv"
25-34,Male,Finance,Entry,< 1 yr,Fully Remote,Contractor,3-6 mo,Yes,2,94,Yes,Often,Always,Never,Rarely,No,2,2,3,2,1,1,"Uses_MFA,Early_Password_Change,Remote_Work"
25-34,Male,Operations,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,2,52,No,Often,Sometimes,Always,Always,No,1,2,3,4,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,Marketing,Intermediate,1-3 yrs,On-site,Permanent,> 12 mo,No,3,58,No,Sometimes,Always,Always,Always,No,4,2,3,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Sales,Intermediate,5-10 yrs,Fully Remote,Contractor,6-12 mo,Yes,3,47,No,Sometimes,Always,Sometimes,Sometimes,No,3,2,3,5,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Male,Sales,Entry,< 1 yr,Hybrid,Contractor,< 3 months,Yes,3,54,No,Never,Always,Never,Often,No,3,4,4,4,0,0,"Uses_MFA,Reports_Phishing"
35-44,Female,Operations,Intermediate,3-5 yrs,On-site,Permanent,< 3 months,Yes,4,49,No,Sometimes,Always,Always,Often,No,3,2,3,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Prefer not to say,IT,Entry,< 1 yr,Fully Remote,Permanent,> 12 mo,Yes,4,60,Yes,Sometimes,Always,Sometimes,Sometimes,No,3,2,3,4,0,0,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Female,Finance,Intermediate,5-10 yrs,Fully Remote,Intern,< 3 months,Yes,4,87,Yes,Sometimes,Always,Sometimes,Often,No,5,2,2,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Finance,Manager,> 10 yrs,Hybrid,Permanent,> 12 mo,Yes,1,57,No,Often,Always,Often,Sometimes,No,5,3,5,5,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,4,46,No,Sometimes,Always,Never,Often,No,3,4,2,2,0,0,"Uses_MFA,Reports_Phishing"
35-44,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,5,73,Yes,Always,Always,Sometimes,Sometimes,Yes,3,2,4,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
25-34,Male,Operations,Entry,< 1 yr,Hybrid,Permanent,> 12 mo,Yes,3,53,No,Always,Always,Sometimes,Sometimes,No,4,2,4,3,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,3,53,No,Sometimes,Always,Sometimes,Often,No,4,2,4,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
18-24,Male,Finance,Entry,3-5 yrs,On-site,Permanent,3-6 mo,No,2,52,No,Often,Always,Often,Often,No,3,3,3,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Prefer not to say,Operations,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,1,56,No,Rarely,Always,Sometimes,Never,No,3,3,1,2,0,0,"Uses_MFA,Personal_Device_Use"
18-24,Female,IT,Director,> 10 yrs,Hybrid,Permanent,6-12 mo,No,4,61,Yes,Sometimes,Sometimes,Sometimes,Often,No,5,3,4,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Marketing,Entry,< 1 yr,Fully Remote,Permanent,< 3 months,Yes,3,61,Yes,Rarely,Never,Rarely,Sometimes,No,4,5,3,2,1,1,Remote_Work
35-44,Female,Finance,Entry,1-3 yrs,On-site,Permanent,< 3 months,No,5,88,Yes,Sometimes,Never,Rarely,Always,No,3,2,5,4,0,0,Reports_Phishing
35-44,Male,Marketing,Entry,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,77,Yes,Sometimes,Always,Often,Always,No,3,2,5,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Sales,Director,> 10 yrs,Hybrid,Permanent,< 3 months,Yes,4,81,Yes,Sometimes,Always,Never,Sometimes,No,4,4,5,5,1,1,Uses_MFA
45-54,Female,Operations,Entry,< 1 yr,Hybrid,Permanent,6-12 mo,No,3,62,Yes,Sometimes,Never,Often,Always,No,1,3,4,5,2-3,3,"Reports_Phishing,Personal_Device_Use"
18-24,Female,IT,Entry,< 1 yr,On-site,Contractor,6-12 mo,No,4,62,Yes,Rarely,Sometimes,Never,Often,No,4,2,4,5,2-3,2,"Uses_MFA,Reports_Phishing"
45-54,Male,Sales,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,4,57,No,Sometimes,Sometimes,Often,Often,No,4,5,3,3,>3,5,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Sales,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,56,No,Always,Always,Never,Often,No,2,4,4,1,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing"
55+,Female,IT,Entry,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,4,56,No,Rarely,Sometimes,Never,Sometimes,No,2,3,3,5,2-3,3,Uses_MFA
25-34,Male,R&D,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,No,2,68,Yes,Always,Always,Often,Never,No,4,3,4,5,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,Other,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,No,4,40,No,Always,Never,Never,Sometimes,Yes,5,3,3,5,>3,6,"Early_Password_Change,Admin_Priv"
55+,Male,IT,Manager,> 10 yrs,On-site,Intern,3-6 mo,Yes,2,66,Yes,Always,Always,Sometimes,Often,No,3,5,5,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Female,Finance,Entry,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,3,66,Yes,Sometimes,Always,Rarely,Always,No,5,3,4,3,0,0,"Uses_MFA,Reports_Phishing"
18-24,Female,Sales,Director,> 10 yrs,Hybrid,Permanent,3-6 mo,No,1,26,No,Always,Never,Always,Often,No,5,5,5,3,0,0,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Female,IT,Executive,1-3 yrs,On-site,Permanent,> 12 mo,Yes,5,54,No,Often,Always,Often,Sometimes,No,3,5,5,2,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,IT,Entry,3-5 yrs,Fully Remote,Permanent,< 3 months,No,3,80,Yes,Sometimes,Always,Sometimes,Often,No,4,3,3,2,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Female,R&D,Manager,3-5 yrs,Hybrid,Permanent,> 12 mo,No,2,48,No,Always,Always,Sometimes,Often,No,4,4,3,3,>3,4,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Male,R&D,Intermediate,< 1 yr,Hybrid,Permanent,3-6 mo,No,3,56,No,Sometimes,Sometimes,Sometimes,Never,Yes,3,2,5,5,0,0,"Uses_MFA,Personal_Device_Use,Admin_Priv"
25-34,Female,Marketing,Manager,3-5 yrs,Fully Remote,Permanent,< 3 months,Yes,3,55,No,Sometimes,Always,Rarely,Rarely,No,4,3,5,5,2-3,2,"Uses_MFA,Remote_Work"
25-34,Female,Sales,Executive,5-10 yrs,Hybrid,Permanent,3-6 mo,Yes,3,64,Yes,Rarely,Never,Rarely,Rarely,No,3,1,5,3,1,1,None
25-34,Male,Sales,Executive,5-10 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,88,Yes,Sometimes,Always,Often,Often,Yes,3,3,4,4,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work,Admin_Priv"
25-34,Male,R&D,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,2,41,No,Sometimes,Sometimes,Never,Often,No,4,3,4,4,1,1,"Uses_MFA,Reports_Phishing"
35-44,Female,Sales,Director,3-5 yrs,Fully Remote,Permanent,< 3 months,Yes,3,49,No,Sometimes,Never,Rarely,Always,No,2,3,5,4,2-3,2,"Reports_Phishing,Remote_Work"
35-44,Female,R&D,Entry,3-5 yrs,On-site,Permanent,< 3 months,Yes,3,57,No,Sometimes,Always,Sometimes,Always,No,2,5,5,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Prefer not to say,Marketing,Executive,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,2,58,No,Sometimes,Never,Rarely,Often,No,3,2,5,4,>3,4,"Reports_Phishing,Remote_Work"
25-34,Female,Finance,Director,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,4,65,Yes,Sometimes,Sometimes,Sometimes,Sometimes,No,3,2,4,2,0,0,"Uses_MFA,Personal_Device_Use"
25-34,Female,Sales,Intermediate,3-5 yrs,On-site,Permanent,6-12 mo,Yes,4,86,Yes,Sometimes,Always,Sometimes,Rarely,No,3,4,3,3,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Female,Operations,Entry,< 1 yr,Fully Remote,Permanent,> 12 mo,No,4,64,Yes,Always,Always,Sometimes,Always,No,4,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,HR,Entry,1-3 yrs,Hybrid,Contractor,< 3 months,Yes,3,70,Yes,Sometimes,Always,Often,Always,No,3,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Intermediate,> 10 yrs,On-site,Permanent,3-6 mo,Yes,5,89,Yes,Sometimes,Always,Sometimes,Sometimes,Yes,4,3,4,3,1,1,"Uses_MFA,Personal_Device_Use,Admin_Priv"
18-24,Female,Sales,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,4,90,Yes,Often,Always,Rarely,Always,No,3,4,4,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,Marketing,Entry,< 1 yr,Hybrid,Permanent,> 12 mo,Yes,3,42,No,Often,Never,Never,Often,No,3,4,3,1,>3,4,"Early_Password_Change,Reports_Phishing"
35-44,Female,Sales,Director,5-10 yrs,Hybrid,Permanent,> 12 mo,Yes,4,42,No,Always,Always,Sometimes,Often,No,3,4,4,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Female,IT,Intermediate,< 1 yr,On-site,Permanent,< 3 months,Yes,3,51,No,Sometimes,Always,Sometimes,Sometimes,Yes,3,4,4,3,1,1,"Uses_MFA,Personal_Device_Use,Admin_Priv"
35-44,Female,IT,Director,> 10 yrs,Fully Remote,Permanent,6-12 mo,Yes,5,53,No,Often,Never,Often,Often,No,4,4,3,2,>3,4,"Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,IT,Manager,3-5 yrs,On-site,Intern,> 12 mo,Yes,3,48,No,Never,Sometimes,Always,Sometimes,No,3,3,5,4,2-3,3,"Uses_MFA,Personal_Device_Use"
35-44,Female,IT,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,Yes,4,61,Yes,Sometimes,Sometimes,Rarely,Sometimes,No,2,1,4,4,0,0,Uses_MFA
25-34,Male,Operations,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,4,78,Yes,Sometimes,Always,Sometimes,Rarely,No,5,3,2,3,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Male,IT,Intermediate,1-3 yrs,Fully Remote,Permanent,< 3 months,No,4,49,No,Sometimes,Sometimes,Sometimes,Always,No,5,2,2,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
18-24,Female,R&D,Manager,5-10 yrs,On-site,Permanent,< 3 months,Yes,4,72,Yes,Often,Always,Sometimes,Rarely,No,3,4,3,5,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Male,Finance,Entry,< 1 yr,Hybrid,Permanent,< 3 months,No,3,80,Yes,Never,Always,Sometimes,Sometimes,Yes,5,2,3,4,0,0,"Uses_MFA,Personal_Device_Use,Admin_Priv"
25-34,Female,Operations,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,3,61,Yes,Often,Always,Sometimes,Sometimes,No,5,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
55+,Male,Sales,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,27,No,Often,Always,Rarely,Often,No,4,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Female,Other,Director,> 10 yrs,Hybrid,Permanent,6-12 mo,Yes,4,65,Yes,Sometimes,Always,Often,Rarely,No,5,4,4,5,2-3,2,"Uses_MFA,Personal_Device_Use"
35-44,Male,IT,Entry,1-3 yrs,On-site,Contractor,< 3 months,No,3,64,Yes,Often,Always,Sometimes,Sometimes,No,5,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Male,Finance,Manager,5-10 yrs,Fully Remote,Contractor,Never,Yes,3,40,No,Often,Never,Sometimes,Always,No,3,4,4,4,0,0,"Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
18-24,Male,R&D,Intermediate,1-3 yrs,Fully Remote,Permanent,6-12 mo,Yes,4,100,Yes,Always,Sometimes,Never,Always,No,3,2,3,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
35-44,Male,Sales,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,47,No,Always,Always,Sometimes,Sometimes,No,4,4,3,1,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Male,Sales,Manager,5-10 yrs,Fully Remote,Permanent,> 12 mo,No,2,17,No,Always,Never,Never,Sometimes,No,2,4,3,3,>3,4,"Early_Password_Change,Remote_Work"
25-34,Female,Marketing,Entry,< 1 yr,Fully Remote,Contractor,< 3 months,Yes,3,81,Yes,Rarely,Always,Sometimes,Sometimes,Yes,2,3,5,5,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work,Admin_Priv"
55+,Female,Other,Director,5-10 yrs,On-site,Permanent,> 12 mo,Yes,3,43,No,Sometimes,Never,Often,Always,No,5,1,2,4,1,1,"Reports_Phishing,Personal_Device_Use"
35-44,Male,Sales,Manager,3-5 yrs,Hybrid,Permanent,6-12 mo,No,4,72,Yes,Rarely,Always,Never,Rarely,Yes,3,3,5,5,2-3,2,"Uses_MFA,Admin_Priv"
45-54,Female,Marketing,Executive,5-10 yrs,On-site,Permanent,< 3 months,Yes,3,68,Yes,Sometimes,Always,Rarely,Always,No,3,2,4,2,0,0,"Uses_MFA,Reports_Phishing"
25-34,Male,Sales,Manager,> 10 yrs,Hybrid,Permanent,6-12 mo,Yes,3,42,No,Often,Always,Often,Sometimes,No,5,4,4,4,2-3,3,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,Sales,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,54,No,Sometimes,Always,Rarely,Sometimes,No,4,3,4,4,1,1,"Uses_MFA,Remote_Work"
45-54,Female,IT,Entry,< 1 yr,Fully Remote,Permanent,< 3 months,No,2,65,Yes,Often,Always,Never,Often,Yes,4,1,1,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work,Admin_Priv"
18-24,Male,Sales,Intermediate,3-5 yrs,On-site,Permanent,3-6 mo,Yes,4,95,Yes,Often,Always,Always,Rarely,No,3,3,2,3,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Male,R&D,Entry,1-3 yrs,Fully Remote,Permanent,< 3 months,No,4,81,Yes,Always,Always,Never,Sometimes,Yes,3,5,5,4,2-3,3,"Uses_MFA,Early_Password_Change,Remote_Work,Admin_Priv"
35-44,Male,HR,Manager,1-3 yrs,On-site,Permanent,Never,No,2,76,Yes,Often,Always,Never,Always,No,5,3,4,5,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Prefer not to say,HR,Intermediate,1-3 yrs,Fully Remote,Permanent,Never,No,4,47,No,Sometimes,Always,Always,Never,No,2,3,5,4,0,0,"Uses_MFA,Personal_Device_Use,Remote_Work"
35-44,Male,Operations,Director,5-10 yrs,On-site,Permanent,6-12 mo,No,2,43,No,Often,Always,Often,Rarely,No,4,5,2,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Male,Marketing,Intermediate,3-5 yrs,Fully Remote,Permanent,6-12 mo,Yes,3,75,Yes,Sometimes,Always,Sometimes,Often,No,3,2,4,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
18-24,Female,Operations,Intermediate,1-3 yrs,Hybrid,Intern,< 3 months,Yes,4,60,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,4,1,3,3,0,0,"Uses_MFA,Personal_Device_Use,Admin_Priv"
35-44,Male,R&D,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,No,3,56,No,Sometimes,Sometimes,Rarely,Sometimes,No,4,2,5,3,2-3,3,Uses_MFA
25-34,Female,Finance,Intermediate,3-5 yrs,On-site,Permanent,3-6 mo,No,4,72,Yes,Sometimes,Sometimes,Always,Sometimes,No,5,2,4,2,>3,4,"Uses_MFA,Personal_Device_Use"
25-34,Male,Operations,Manager,> 10 yrs,Fully Remote,Permanent,< 3 months,Yes,2,61,Yes,Often,Always,Never,Sometimes,No,3,2,4,4,1,1,"Uses_MFA,Early_Password_Change,Remote_Work"
18-24,Female,IT,Entry,1-3 yrs,On-site,Permanent,6-12 mo,Yes,3,38,No,Sometimes,Sometimes,Sometimes,Often,Yes,5,3,5,3,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Female,Sales,Entry,< 1 yr,On-site,Intern,3-6 mo,No,4,60,Yes,Never,Always,Sometimes,Often,No,4,2,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Intermediate,5-10 yrs,On-site,Permanent,< 3 months,Yes,2,46,No,Sometimes,Never,Rarely,Rarely,No,3,4,2,4,2-3,2,None
45-54,Male,Operations,Manager,5-10 yrs,Hybrid,Permanent,< 3 months,No,3,61,Yes,Rarely,Never,Rarely,Sometimes,No,3,5,4,3,2-3,2,None
18-24,Female,Other,Manager,5-10 yrs,On-site,Permanent,3-6 mo,No,2,60,Yes,Often,Sometimes,Never,Sometimes,No,2,3,5,5,2-3,2,"Uses_MFA,Early_Password_Change"
25-34,Male,HR,Entry,1-3 yrs,Fully Remote,Permanent,< 3 months,No,2,61,Yes,Rarely,Always,Never,Always,No,2,5,4,3,2-3,2,"Uses_MFA,Reports_Phishing,Remote_Work"
45-54,Male,IT,Director,3-5 yrs,Hybrid,Contractor,> 12 mo,No,4,50,No,Sometimes,Always,Rarely,Often,No,3,5,3,4,2-3,2,"Uses_MFA,Reports_Phishing"
18-24,Female,IT,Manager,5-10 yrs,On-site,Intern,< 3 months,Yes,3,47,No,Rarely,Always,Never,Often,No,1,1,3,4,0,0,"Uses_MFA,Reports_Phishing"
25-34,Female,IT,Entry,1-3 yrs,Hybrid,Permanent,< 3 months,No,3,52,No,Always,Sometimes,Sometimes,Sometimes,No,5,4,2,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,IT,Manager,> 10 yrs,On-site,Permanent,> 12 mo,Yes,3,49,No,Often,Always,Sometimes,Rarely,No,5,2,5,3,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Male,Marketing,Intermediate,< 1 yr,On-site,Permanent,< 3 months,Yes,3,58,No,Never,Sometimes,Sometimes,Always,Yes,5,3,3,2,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Female,Sales,Entry,< 1 yr,On-site,Permanent,< 3 months,No,3,74,Yes,Often,Never,Sometimes,Never,No,3,3,5,2,>3,5,"Early_Password_Change,Personal_Device_Use"
